No;Kurum;Ders Kategorisi;Ders Açıklaması;Ders Konusu;Tarih;Süre;Klasör Adı;Oynatma Linki
2852;Belirsiz / Bilinmeyen Müşteri;2024 Alan eğitimi Soru Çözümü ;ID ve Kelime Eşleşmesi Bulunamadı;2024 Alan eğitimi Soru Çözümü ;30.07.2024 18:50;Bilinmiyor;a393cecbc3532a4d036d51a98f32d8db8ed6bc70-1722354655420;https://185.86.155.222/playback/presentation/2.3/a393cecbc3532a4d036d51a98f32d8db8ed6bc70-1722354655420
2853;Belirsiz / Bilinmeyen Müşteri;MAARİF PROGRAMI-8;ID ve Kelime Eşleşmesi Bulunamadı;MAARİF PROGRAMI-8;10.05.2025 18:52;Bilinmiyor;a7bb88795d338b5aaf53e13882b28f159d978cf6-1746892372239;https://185.86.155.222/playback/presentation/2.3/a7bb88795d338b5aaf53e13882b28f159d978cf6-1746892372239
2854;Türkçe ÖABTdeyiz;YABANCILARA TÜRKÇE ÖĞRETİMİ GİRİŞ;Arşiv / Eski Dönem Dersi;YABANCILARA TÜRKÇE ÖĞRETİMİ GİRİŞ;27.04.2024 18:53;Bilinmiyor;6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1714233218420;https://185.86.155.222/playback/presentation/2.3/6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1714233218420
2855;Belirsiz / Bilinmeyen Müşteri;YTE Konu: TANZİMAT 1. KUŞAK;ID ve Kelime Eşleşmesi Bulunamadı;YTE Konu: TANZİMAT 1. KUŞAK;2.12.2023 19:15;Bilinmiyor;b200b3a005b070dfed4c9211c97c4d553154e5a7-1701533708400;https://185.86.155.222/playback/presentation/2.3/b200b3a005b070dfed4c9211c97c4d553154e5a7-1701533708400
2856;Belirsiz / Bilinmeyen Müşteri;SERVETİFÜNUN EDEBİYATI -1;ID ve Kelime Eşleşmesi Bulunamadı;SERVETİFÜNUN EDEBİYATI -1;5.12.2023 19:47;Bilinmiyor;dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1701794848121;https://185.86.155.222/playback/presentation/2.3/dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1701794848121
2857;Belirsiz / Bilinmeyen Müşteri;MAARİF PROGRAMI-6;ID ve Kelime Eşleşmesi Bulunamadı;MAARİF PROGRAMI-6;3.05.2025 18:48;Bilinmiyor;a7bb88795d338b5aaf53e13882b28f159d978cf6-1746287303719;https://185.86.155.222/playback/presentation/2.3/a7bb88795d338b5aaf53e13882b28f159d978cf6-1746287303719
2858;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - YENİ TÜRK EDEBİYATI;;SORU ÇÖZÜMÜ- 4;6.05.2025 18:57;47 dk;4b39fd288dc2700c79d58ee85b39fd914c7ff7ef-1747154911494;https://185.86.155.222/playback/presentation/2.3/4b39fd288dc2700c79d58ee85b39fd914c7ff7ef-1747154911494
2859;Belirsiz / Bilinmeyen Müşteri;Bilinmeyen Toplanti;ID ve Kelime Eşleşmesi Bulunamadı;Bilinmeyen Toplanti;9.03.2024 19:07;Bilinmiyor;8641f7f8a4fffaf3b013dd1945356f18a2bccbc5-1710000432416;https://185.86.155.222/playback/presentation/2.3/8641f7f8a4fffaf3b013dd1945356f18a2bccbc5-1710000432416
2860;Türkçe ÖABTdeyiz;BEYİT ŞERHLERİ;;şerh 9;12.05.2024 18:56;44 dk;bf34a30375919b679162e745b11e71cb60b00db8-1716738432821;https://185.86.155.222/playback/presentation/2.3/bf34a30375919b679162e745b11e71cb60b00db8-1716738432821
2861;Belirsiz / Bilinmeyen Müşteri;Osmanlı Tarihi Son Ders;ID ve Kelime Eşleşmesi Bulunamadı;Osmanlı Tarihi Son Ders;18.03.2025 20:54;Bilinmiyor;b7d639c22156809d40870df74248cd0cd85d082b-1742320476806;https://185.86.155.222/playback/presentation/2.3/b7d639c22156809d40870df74248cd0cd85d082b-1742320476806
2862;Belirsiz / Bilinmeyen Müşteri;çocuk edebiyatı 2;ID ve Kelime Eşleşmesi Bulunamadı;çocuk edebiyatı 2;3.06.2024 20:07;Bilinmiyor;43e0c24a708ac8def75adeaf6b9f65e130d4bdd0-1717434474419;https://185.86.155.222/playback/presentation/2.3/43e0c24a708ac8def75adeaf6b9f65e130d4bdd0-1717434474419
2863;Belirsiz / Bilinmeyen Müşteri;ÖLÇME VE DEĞERLENDİRME - 2;ID ve Kelime Eşleşmesi Bulunamadı;ÖLÇME VE DEĞERLENDİRME - 2;13.03.2024 23:15;Bilinmiyor;6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1710360932877;https://185.86.155.222/playback/presentation/2.3/6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1710360932877
2864;Belirsiz / Bilinmeyen Müşteri;TYT Kimya Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;TYT Kimya Konu: ;8.11.2023 18:54;Bilinmiyor;539ddce5f2b6239244f4a033ec159d9cbc1e944c-1699458845042;https://185.86.155.222/playback/presentation/2.3/539ddce5f2b6239244f4a033ec159d9cbc1e944c-1699458845042
2865;Türkçe ÖABTdeyiz;BEYİT ŞERHLERİ;;şerh 9;12.05.2024 18:56;44 dk;bf34a30375919b679162e745b11e71cb60b00db8-1714922303160;https://185.86.155.222/playback/presentation/2.3/bf34a30375919b679162e745b11e71cb60b00db8-1714922303160
2866;Türkçe ÖABTdeyiz;.2026 DİL BİLİM;;Gösterge Bilimi (Semiyotik) - 3 BELKİ Metin Bilimine de gireriz. :));29.03.2026 19:48;39 dk;63f2e14f54fa66ec3aceda1ecb023cfc40028865-1773507463220;https://185.86.155.222/playback/presentation/2.3/63f2e14f54fa66ec3aceda1ecb023cfc40028865-1773507463220
2867;Belirsiz / Bilinmeyen Müşteri;FECRİ ATİ DÖNEMİ SANATÇILARI 2;ID ve Kelime Eşleşmesi Bulunamadı;FECRİ ATİ DÖNEMİ SANATÇILARI 2;25.12.2022 20:34;Bilinmiyor;cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1671989671332;https://185.86.155.222/playback/presentation/2.3/cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1671989671332
2868;Belirsiz / Bilinmeyen Müşteri;FECRİ ATİ EDEBİYATI GENEL OZELLİKLER;ID ve Kelime Eşleşmesi Bulunamadı;FECRİ ATİ EDEBİYATI GENEL OZELLİKLER;25.12.2022 18:54;Bilinmiyor;cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1671983685950;https://185.86.155.222/playback/presentation/2.3/cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1671983685950
2869;Belirsiz / Bilinmeyen Müşteri;6. DENEME (DİL BİLİM- DİLBİLGİSİ);ID ve Kelime Eşleşmesi Bulunamadı;6. DENEME (DİL BİLİM- DİLBİLGİSİ);14.07.2024 00:58;Bilinmiyor;15a2ee8b633f754e598185dfa9a9fcf803a820c1-1720907912539;https://185.86.155.222/playback/presentation/2.3/15a2ee8b633f754e598185dfa9a9fcf803a820c1-1720907912539
2870;Belirsiz / Bilinmeyen Müşteri;şair ve yazarlar;ID ve Kelime Eşleşmesi Bulunamadı;şair ve yazarlar;28.02.2024 20:18;Bilinmiyor;58fee96126fbde0c4f5e3c147df457ad979a56d4-1709140680999;https://185.86.155.222/playback/presentation/2.3/58fee96126fbde0c4f5e3c147df457ad979a56d4-1709140680999
2871;Türkçe ÖABTdeyiz;.2026 DİL BİLİM;;Gösterge Bilimi (Semiyotik) - 3 BELKİ Metin Bilimine de gireriz. :));29.03.2026 19:48;39 dk;63f2e14f54fa66ec3aceda1ecb023cfc40028865-1775411066306;https://185.86.155.222/playback/presentation/2.3/63f2e14f54fa66ec3aceda1ecb023cfc40028865-1775411066306
2872;Belirsiz / Bilinmeyen Müşteri;2. ders - şekil bilgisi;ID ve Kelime Eşleşmesi Bulunamadı;2. ders - şekil bilgisi;15.04.2024 20:11;Bilinmiyor;403e7c4599e9a25f7617b1b86e974585ad29418a-1713201081176;https://185.86.155.222/playback/presentation/2.3/403e7c4599e9a25f7617b1b86e974585ad29418a-1713201081176
2873;Türkçe ÖABTdeyiz;BEYİT ŞERHLERİ;;şerh 9;12.05.2024 18:56;44 dk;bf34a30375919b679162e745b11e71cb60b00db8-1714317120373;https://185.86.155.222/playback/presentation/2.3/bf34a30375919b679162e745b11e71cb60b00db8-1714317120373
2874;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - ESKİ TÜRK EDEBİYATI;;şerh;14.05.2025 18:43;45 dk;7d856a5528132d97c75d058e84f41111ba0cfb69-1749052631599;https://185.86.155.222/playback/presentation/2.3/7d856a5528132d97c75d058e84f41111ba0cfb69-1749052631599
2875;Belirsiz / Bilinmeyen Müşteri;AYT Biyoloji: ;ID ve Kelime Eşleşmesi Bulunamadı;AYT Biyoloji: ;20.04.2024 10:57;Bilinmiyor;f202aac543ac74ad3d5dc6e6148ec7d3131ee51c-1713599820512;https://185.86.155.222/playback/presentation/2.3/f202aac543ac74ad3d5dc6e6148ec7d3131ee51c-1713599820512
2876;Türkçe ÖABTdeyiz;Yabancılara Türkçe öğretimi kazanımlar ve dil bilgisi;Arşiv / Eski Dönem Dersi;Yabancılara Türkçe öğretimi kazanımlar ve dil bilgisi;11.07.2024 19:54;Bilinmiyor;6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1720716840244;https://185.86.155.222/playback/presentation/2.3/6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1720716840244
2877;Belirsiz / Bilinmeyen Müşteri;AYT Matematik Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;AYT Matematik Konu: ;24.12.2023 11:35;Bilinmiyor;1eb3b44abaa77eff617b07c82079c412d982d211-1703406955975;https://185.86.155.222/playback/presentation/2.3/1eb3b44abaa77eff617b07c82079c412d982d211-1703406955975
2878;Türkçe ÖABTdeyiz;.2026 DÜNYA EDEBİYATI;;fransız 6;30.11.2025 18:46;45 dk;35055dac95adb3f6c0c8afe1593ea9f87912dc72-1765129772746;https://185.86.155.222/playback/presentation/2.3/35055dac95adb3f6c0c8afe1593ea9f87912dc72-1765129772746
2879;Belirsiz / Bilinmeyen Müşteri;Eğitimin Temelleri ;ID ve Kelime Eşleşmesi Bulunamadı;Eğitimin Temelleri ;3.05.2025 19:55;Bilinmiyor;5a5af5adcd7c56d0374f95cdf1e024137d9d4d4b-1746291339817;https://185.86.155.222/playback/presentation/2.3/5a5af5adcd7c56d0374f95cdf1e024137d9d4d4b-1746291339817
2880;Türkçe ÖABTdeyiz;Türkçenin biçim bilgisi 3;Arşiv / Eski Dönem Dersi;Türkçenin biçim bilgisi 3;7.12.2023 20:55;Bilinmiyor;9483f9b4c8f357f74b159e62b0bb261e025c62ff-1701971741956;https://185.86.155.222/playback/presentation/2.3/9483f9b4c8f357f74b159e62b0bb261e025c62ff-1701971741956
2881;Belirsiz / Bilinmeyen Müşteri;HAZİRAN AYI REHBERLİK;ID ve Kelime Eşleşmesi Bulunamadı;HAZİRAN AYI REHBERLİK;12.06.2024 19:45;Bilinmiyor;31428f79dc23045a5b7f841d72fb9ed20be8ea2f-1718210744013;https://185.86.155.222/playback/presentation/2.3/31428f79dc23045a5b7f841d72fb9ed20be8ea2f-1718210744013
2882;Belirsiz / Bilinmeyen Müşteri;İKİNCİ YENİ ŞİİRİ Yeni Türk edebiyatı 29;ID ve Kelime Eşleşmesi Bulunamadı;İKİNCİ YENİ ŞİİRİ Yeni Türk edebiyatı 29;21.02.2023 20:06;Bilinmiyor;6f2696c046c35b6eb1951e98ba371e4c0ddddb6c-1676999204726;https://185.86.155.222/playback/presentation/2.3/6f2696c046c35b6eb1951e98ba371e4c0ddddb6c-1676999204726
2883;Belirsiz / Bilinmeyen Müşteri;SERVETİFÜNUN EDEBİYATI-2;ID ve Kelime Eşleşmesi Bulunamadı;SERVETİFÜNUN EDEBİYATI-2;5.12.2023 20:50;Bilinmiyor;dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1701798619691;https://185.86.155.222/playback/presentation/2.3/dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1701798619691
2884;Belirsiz / Bilinmeyen Müşteri;dil bilim sorular veyahut enivacı voke;ID ve Kelime Eşleşmesi Bulunamadı;dil bilim sorular veyahut enivacı voke;1.01.2024 21:27;Bilinmiyor;2a3118bee8adb487c610585b9ef9cfb19b60625b-1704133640094;https://185.86.155.222/playback/presentation/2.3/2a3118bee8adb487c610585b9ef9cfb19b60625b-1704133640094
2885;Belirsiz / Bilinmeyen Müşteri;Fizik 1 Konu: fizik bilimine giriş;ID ve Kelime Eşleşmesi Bulunamadı;Fizik 1 Konu: fizik bilimine giriş;8.10.2023 09:58;Bilinmiyor;9eeaff70a095b122da929675de7393a46193c779-1696748284658;https://185.86.155.222/playback/presentation/2.3/9eeaff70a095b122da929675de7393a46193c779-1696748284658
2886;Türkçe ÖABTdeyiz;.2026 HALK EDEBİYATI;;halk edebiyatında tür ve şekil;10.11.2025 18:53;40 dk;6fb816cac8d877ed782a082bbfb25c5eb5744b39-1761580565865;https://185.86.155.222/playback/presentation/2.3/6fb816cac8d877ed782a082bbfb25c5eb5744b39-1761580565865
2887;Türkçe ÖABTdeyiz;2025 - MEVZUAT;;1982 ANAYASASI 9. DERS;24.04.2025 20:52;41 dk;885cd183396123664aae15258f36ab40589223ad-1741892124548;https://185.86.155.222/playback/presentation/2.3/885cd183396123664aae15258f36ab40589223ad-1741892124548
2888;Belirsiz / Bilinmeyen Müşteri;2015 YTE;ID ve Kelime Eşleşmesi Bulunamadı;2015 YTE;18.07.2023 23:59;Bilinmiyor;de412e92b16238f8c23eb232c4c277274f61e70f-1689713956629;https://185.86.155.222/playback/presentation/2.3/de412e92b16238f8c23eb232c4c277274f61e70f-1689713956629
2889;Belirsiz / Bilinmeyen Müşteri;2024 Haziran Coğrafya 1;ID ve Kelime Eşleşmesi Bulunamadı;2024 Haziran Coğrafya 1;28.06.2024 14:51;Bilinmiyor;bb9d1585530f4f27113dbf9e62c9ed49a1444fbd-1719575475193;https://185.86.155.222/playback/presentation/2.3/bb9d1585530f4f27113dbf9e62c9ed49a1444fbd-1719575475193
2890;Belirsiz / Bilinmeyen Müşteri;2025 Paragraf Sözel Beceri ;ID ve Kelime Eşleşmesi Bulunamadı;2025 Paragraf Sözel Beceri ;15.04.2025 18:45;Bilinmiyor;fec178ac6df0c3c3150c3c7e14c47b031ed2cffc-1744731914844;https://185.86.155.222/playback/presentation/2.3/fec178ac6df0c3c3150c3c7e14c47b031ed2cffc-1744731914844
2891;Türkçe ÖABTdeyiz;.2026 HALK EDEBİYATI;;halk edebiyatında tür ve şekil;10.11.2025 18:53;40 dk;6fb816cac8d877ed782a082bbfb25c5eb5744b39-1764610779580;https://185.86.155.222/playback/presentation/2.3/6fb816cac8d877ed782a082bbfb25c5eb5744b39-1764610779580
2892;Belirsiz / Bilinmeyen Müşteri;Bilinmeyen Toplanti;ID ve Kelime Eşleşmesi Bulunamadı;Bilinmeyen Toplanti;11.01.2024 20:51;Bilinmiyor;9483f9b4c8f357f74b159e62b0bb261e025c62ff-1704995471092;https://185.86.155.222/playback/presentation/2.3/9483f9b4c8f357f74b159e62b0bb261e025c62ff-1704995471092
2893;Türkçe ÖABTdeyiz;2025 DİL BİLİM;;SON DİL BİLİM KURAMLARI;23.12.2024 18:44;62 dk;892b584343d0c9fc7ab552c5c90bbfd699dca74d-1730743871487;https://185.86.155.222/playback/presentation/2.3/892b584343d0c9fc7ab552c5c90bbfd699dca74d-1730743871487
2894;Belirsiz / Bilinmeyen Müşteri;Eski Türk edebiyatı 8 Söz Sanatları;ID ve Kelime Eşleşmesi Bulunamadı;Eski Türk edebiyatı 8 Söz Sanatları;27.04.2023 20:24;Bilinmiyor;c9120940b69cac5c4fa3a86e9f9d19195672af45-1682616274275;https://185.86.155.222/playback/presentation/2.3/c9120940b69cac5c4fa3a86e9f9d19195672af45-1682616274275
2895;Belirsiz / Bilinmeyen Müşteri;7. DENEME ÇÖZÜMÜ (EDEBİYAT DERSLERİ);ID ve Kelime Eşleşmesi Bulunamadı;7. DENEME ÇÖZÜMÜ (EDEBİYAT DERSLERİ);15.07.2024 01:48;Bilinmiyor;15a2ee8b633f754e598185dfa9a9fcf803a820c1-1720997307644;https://185.86.155.222/playback/presentation/2.3/15a2ee8b633f754e598185dfa9a9fcf803a820c1-1720997307644
2896;Belirsiz / Bilinmeyen Müşteri;eski edebiyat sorularla genel tekratr;ID ve Kelime Eşleşmesi Bulunamadı;eski edebiyat sorularla genel tekratr;16.07.2024 18:26;Bilinmiyor;569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721143584555;https://185.86.155.222/playback/presentation/2.3/569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721143584555
2897;Belirsiz / Bilinmeyen Müşteri;TÜRKİYEDE ÇOCUK EDEBİYATI TARİHÇESİ -5;ID ve Kelime Eşleşmesi Bulunamadı;TÜRKİYEDE ÇOCUK EDEBİYATI TARİHÇESİ -5;15.05.2024 21:27;Bilinmiyor;f67b4948b1592313c2fb1206ef8b9f23a7902842-1715797659077;https://185.86.155.222/playback/presentation/2.3/f67b4948b1592313c2fb1206ef8b9f23a7902842-1715797659077
2898;Belirsiz / Bilinmeyen Müşteri;DİNLEME KAZANIMLARI-2;ID ve Kelime Eşleşmesi Bulunamadı;DİNLEME KAZANIMLARI-2;23.11.2024 19:57;Bilinmiyor;a7bb88795d338b5aaf53e13882b28f159d978cf6-1732381027357;https://185.86.155.222/playback/presentation/2.3/a7bb88795d338b5aaf53e13882b28f159d978cf6-1732381027357
2899;Türkçe ÖABTdeyiz;.2026 ESKİ TÜRK EDEBİYATI;;Aruz Bilgisi-2;4.12.2025 19:44;43 dk;d5a49c3ab0991a06073f0f2931a2fc49ad269629-1774543319139;https://185.86.155.222/playback/presentation/2.3/d5a49c3ab0991a06073f0f2931a2fc49ad269629-1774543319139
2900;Türkçe ÖABTdeyiz;.2026 ÇOCUK EDEBİYATI;;ÇOCUK EDEBİYATI-16;27.04.2026 18:56;47 dk;0227ecef24ffd5f993e3a594193ec0e6cca913b3-1774281570228;https://185.86.155.222/playback/presentation/2.3/0227ecef24ffd5f993e3a594193ec0e6cca913b3-1774281570228
2901;Belirsiz / Bilinmeyen Müşteri;DÖRT TEMEL BECERİ-4;ID ve Kelime Eşleşmesi Bulunamadı;DÖRT TEMEL BECERİ-4;19.07.2024 17:20;Bilinmiyor;569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721398816264;https://185.86.155.222/playback/presentation/2.3/569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721398816264
2902;Türkçe ÖABTdeyiz;.2026 ESKİ TÜRK EDEBİYATI;;Aruz Bilgisi-2;4.12.2025 19:44;43 dk;d5a49c3ab0991a06073f0f2931a2fc49ad269629-1763049246585;https://185.86.155.222/playback/presentation/2.3/d5a49c3ab0991a06073f0f2931a2fc49ad269629-1763049246585
2903;Belirsiz / Bilinmeyen Müşteri;Eski Türk Dili 8, Dönemlerin Biçim Özellikleri;ID ve Kelime Eşleşmesi Bulunamadı;Eski Türk Dili 8, Dönemlerin Biçim Özellikleri;8.12.2022 21:12;Bilinmiyor;4927751191dcea2ce7fc841cef02bee8bdffff39-1670523164747;https://185.86.155.222/playback/presentation/2.3/4927751191dcea2ce7fc841cef02bee8bdffff39-1670523164747
2904;Belirsiz / Bilinmeyen Müşteri;AYT Coğrafya: ;ID ve Kelime Eşleşmesi Bulunamadı;AYT Coğrafya: ;17.04.2024 18:57;Bilinmiyor;5e8570c10d8316447c831b36992fca78fae23d46-1713369462439;https://185.86.155.222/playback/presentation/2.3/5e8570c10d8316447c831b36992fca78fae23d46-1713369462439
2905;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - DÖRT TEMEL BECERİ;;KONUŞMA EĞİTİMİ - 4;2.06.2025 19:43;37 dk;fd5c21dfcef4665bb7e8b67c9d7f92cb619f22e0-1749829606563;https://185.86.155.222/playback/presentation/2.3/fd5c21dfcef4665bb7e8b67c9d7f92cb619f22e0-1749829606563
2906;Belirsiz / Bilinmeyen Müşteri;Edat-Bağlaç-Ünlem Konu: Soru Çözümü ;ID ve Kelime Eşleşmesi Bulunamadı;Edat-Bağlaç-Ünlem Konu: Soru Çözümü ;27.11.2023 18:24;Bilinmiyor;fc0bdbe9c3613f6627b9683d09c4664875ddae17-1701098683201;https://185.86.155.222/playback/presentation/2.3/fc0bdbe9c3613f6627b9683d09c4664875ddae17-1701098683201
2907;Belirsiz / Bilinmeyen Müşteri;kuramlar 2;ID ve Kelime Eşleşmesi Bulunamadı;kuramlar 2;19.01.2025 19:50;Bilinmiyor;5c288540cc4a3963fdae332c9d03f4a623c474ee-1737305431655;https://185.86.155.222/playback/presentation/2.3/5c288540cc4a3963fdae332c9d03f4a623c474ee-1737305431655
2908;Türkçe ÖABTdeyiz;.2026 HALK EDEBİYATI;;halk edebiyatında tür ve şekil;10.11.2025 18:53;40 dk;6fb816cac8d877ed782a082bbfb25c5eb5744b39-1764006042273;https://185.86.155.222/playback/presentation/2.3/6fb816cac8d877ed782a082bbfb25c5eb5744b39-1764006042273
2909;Belirsiz / Bilinmeyen Müşteri;Coğrafya Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Coğrafya Konu: ;5.01.2024 18:57;Bilinmiyor;121a060c722065654d3b14c1458f0f4340f3ba1d-1704470261839;https://185.86.155.222/playback/presentation/2.3/121a060c722065654d3b14c1458f0f4340f3ba1d-1704470261839
2910;Belirsiz / Bilinmeyen Müşteri;Koray Hoca Coğrafya ;ID ve Kelime Eşleşmesi Bulunamadı;Koray Hoca Coğrafya ;20.06.2023 17:58;Bilinmiyor;548d27074b8b9c924a4d675ad63c7aaa59c90ed1-1687273132246;https://185.86.155.222/playback/presentation/2.3/548d27074b8b9c924a4d675ad63c7aaa59c90ed1-1687273132246
2911;Belirsiz / Bilinmeyen Müşteri;CUMHURİYET ROMAN-5;ID ve Kelime Eşleşmesi Bulunamadı;CUMHURİYET ROMAN-5;25.03.2025 20:24;Bilinmiyor;299cbd7fac79e094a9bc3b87c31b8813983b41dd-1742923480141;https://185.86.155.222/playback/presentation/2.3/299cbd7fac79e094a9bc3b87c31b8813983b41dd-1742923480141
2912;Belirsiz / Bilinmeyen Müşteri;Geometri konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Geometri konu: ;28.01.2024 17:49;Bilinmiyor;62161817217454abb0bb01fe2bb2935ed359543f-1706453344327;https://185.86.155.222/playback/presentation/2.3/62161817217454abb0bb01fe2bb2935ed359543f-1706453344327
2913;Belirsiz / Bilinmeyen Müşteri;ÇOCUK EDEBİYATINDA TÜRLER-1;ID ve Kelime Eşleşmesi Bulunamadı;ÇOCUK EDEBİYATINDA TÜRLER-1;6.04.2025 19:43;Bilinmiyor;c2bdcd65896ccb7d920c772a7023ec30413ca386-1743957837472;https://185.86.155.222/playback/presentation/2.3/c2bdcd65896ccb7d920c772a7023ec30413ca386-1743957837472
2914;Belirsiz / Bilinmeyen Müşteri;CUMHURİYET DEVRİ TİYATRO/ÖĞRETİCİ METİNLER 44,;ID ve Kelime Eşleşmesi Bulunamadı;CUMHURİYET DEVRİ TİYATRO/ÖĞRETİCİ METİNLER 44,;28.03.2023 22:24;Bilinmiyor;24b76f093621dc1e157bc8726eb89eb6d1ead105-1680031482818;https://185.86.155.222/playback/presentation/2.3/24b76f093621dc1e157bc8726eb89eb6d1ead105-1680031482818
2915;Belirsiz / Bilinmeyen Müşteri;OKUMA SORU ÇÖZÜMÜ;ID ve Kelime Eşleşmesi Bulunamadı;OKUMA SORU ÇÖZÜMÜ;22.02.2025 20:39;Bilinmiyor;a7bb88795d338b5aaf53e13882b28f159d978cf6-1740245942527;https://185.86.155.222/playback/presentation/2.3/a7bb88795d338b5aaf53e13882b28f159d978cf6-1740245942527
2916;Türkçe ÖABTdeyiz;.2026 DİL BİLGİSİ;;ŞEKİL/YAPI/BİÇİM BİLGİSİ ( Yapısı Bakımından Sözcükler)-1;18.11.2025 18:59;41 dk;dc12c9d877c70209ea7d0274e884c99ee397001f-1767110325898;https://185.86.155.222/playback/presentation/2.3/dc12c9d877c70209ea7d0274e884c99ee397001f-1767110325898
2917;Belirsiz / Bilinmeyen Müşteri;Eski Dil Soru Kampı ;ID ve Kelime Eşleşmesi Bulunamadı;Eski Dil Soru Kampı ;19.03.2024 19:57;Bilinmiyor;27775fa819d076e9063ddbdae3a824687407276e-1710867465418;https://185.86.155.222/playback/presentation/2.3/27775fa819d076e9063ddbdae3a824687407276e-1710867465418
2918;Belirsiz / Bilinmeyen Müşteri;2025 Eski Türk Dili ;ID ve Kelime Eşleşmesi Bulunamadı;2025 Eski Türk Dili ;27.03.2025 19:49;Bilinmiyor;4f548807724401b99d3f0931cb9f64f7f7f54a61-1743094176544;https://185.86.155.222/playback/presentation/2.3/4f548807724401b99d3f0931cb9f64f7f7f54a61-1743094176544
2919;Belirsiz / Bilinmeyen Müşteri;KONUŞMA BOZUKLUKLARI;ID ve Kelime Eşleşmesi Bulunamadı;KONUŞMA BOZUKLUKLARI;25.11.2023 20:48;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1700934482125;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1700934482125
2920;Belirsiz / Bilinmeyen Müşteri;Eski Edebiyat Soru Çözümü 4 ;ID ve Kelime Eşleşmesi Bulunamadı;Eski Edebiyat Soru Çözümü 4 ;20.04.2024 18:48;Bilinmiyor;b9850e22a9180ea6c70992aa6e9b67a6bb81d381-1713628092628;https://185.86.155.222/playback/presentation/2.3/b9850e22a9180ea6c70992aa6e9b67a6bb81d381-1713628092628
2921;Belirsiz / Bilinmeyen Müşteri;33) Dil bilgisi [Sözcük Türleri (fiil, ek-fiil, fiilimsi)] SON-5;ID ve Kelime Eşleşmesi Bulunamadı;33) Dil bilgisi [Sözcük Türleri (fiil, ek-fiil, fiilimsi)] SON-5;10.01.2025 21:09;Bilinmiyor;3952b1ba6290cff1170a97c1b872549e03a00571-1736532573140;https://185.86.155.222/playback/presentation/2.3/3952b1ba6290cff1170a97c1b872549e03a00571-1736532573140
2922;Türkçe ÖABTdeyiz;Türkçe: paragrafta anlam;Arşiv / Eski Dönem Dersi;Türkçe: paragrafta anlam;28.01.2025 20:30;Bilinmiyor;61f036a3c11fdd6300113c7cc31b20f7638f7c55-1738085436154;https://185.86.155.222/playback/presentation/2.3/61f036a3c11fdd6300113c7cc31b20f7638f7c55-1738085436154
2923;Belirsiz / Bilinmeyen Müşteri;CUMHURİYET ŞİİRİ-3;ID ve Kelime Eşleşmesi Bulunamadı;CUMHURİYET ŞİİRİ-3;11.02.2025 21:10;Bilinmiyor;299cbd7fac79e094a9bc3b87c31b8813983b41dd-1739297408625;https://185.86.155.222/playback/presentation/2.3/299cbd7fac79e094a9bc3b87c31b8813983b41dd-1739297408625
2924;Türkçe ÖABTdeyiz;2025 - MEVZUAT;;1982 ANAYASASI 9. DERS;24.04.2025 20:52;41 dk;885cd183396123664aae15258f36ab40589223ad-1746730902760;https://185.86.155.222/playback/presentation/2.3/885cd183396123664aae15258f36ab40589223ad-1746730902760
2925;Belirsiz / Bilinmeyen Müşteri;Yeni Türk Dili ;ID ve Kelime Eşleşmesi Bulunamadı;Yeni Türk Dili ;16.01.2025 18:50;Bilinmiyor;809088eee8f2f6de0c755a45d7bfec33bdd4ba7d-1737042629044;https://185.86.155.222/playback/presentation/2.3/809088eee8f2f6de0c755a45d7bfec33bdd4ba7d-1737042629044
